timestamp,how_did_you_hear,age_range,gender,education_level,currently_working,has_taken_course,python_level,knows_frontend,knows_backend,knows_databases,uses_git,has_linkedin,learning_goal
30/7/2025 13:10:37,Por un amigo,18 a 24 años,Masculino,Secundaria completa,"Sí, en otra área",No,Nunca he usado Python,"He escuchado el término, pero no sé bien qué es",No,He escuchado el término,"No, nunca",No,"Expandir más mi conocimiento, para poder encontrar nuevas oportunidades de trabajo "
30/7/2025 14:32:32,Un familiar ,18 a 24 años,Masculino,Técnico o tecnólogo,"Sí, en otra área",Sí,"He visto algo, pero no he programado en él","Sí, sé qué es y qué tecnologías se usan normalmente","Sí, sé qué es y qué hace","Sí, sé qué es y cómo se usa a nivel básico","Sí, he hecho commits o subido código",Sí,Reforzar mis habilidades en el desarrollo de software
30/7/2025 17:15:50,mis padres (César y Pilar),Menos de 18 años,Femenino,Secundaria incompleta,No estoy trabajando actualmente,"No, pero he aprendido por mi cuenta (autodidacta)",Nunca he usado Python,No,No,He escuchado el término,"No, nunca",No,lograr crear mis propias aplicaciones y tener más conocimiento sobre el tema.
30/7/2025 17:22:50,Por referencia ,Menos de 18 años,Femenino,Secundaria incompleta,No estoy trabajando actualmente,Sí,He hecho ejercicios o pequeños proyectos,No,"Me suena, pero no estoy seguro/a",He escuchado el término,"No, nunca",No,Saber más de programación y que esto sea útil para mi futuro
31/7/2025 7:45:45,Por un amigo de la Iglesia,25 a 34 años,Femenino,Postgrado o más,"Sí, en otra área",No,"He visto algo, pero no he programado en él","He escuchado el término, pero no sé bien qué es","Me suena, pero no estoy seguro/a","Sí, sé qué es y cómo se usa a nivel básico","No, nunca",Sí,Desarrollar otras habilidades que me permitan explorar y obtener trabajo en otro campo
31/7/2025 11:56:31,Me comentaron,18 a 24 años,Masculino,Universidad (pregrado),"Sí, en otra área",No,Nunca he usado Python,No,"Me suena, pero no estoy seguro/a",He escuchado el término,Solo para ver proyectos,"No, pero me gustaría crear una",Poder desarrollar esta habilidad para generar un ingreso extra o algo parecido 
1/8/2025 12:40,Por un amigo ,18 a 24 años,Masculino,Secundaria completa,"Sí, en otra área",No,Nunca he usado Python,No,No,He escuchado el término,"No, nunca",No,"Ganar experiencia, aprender nuevas cosas "
3/8/2025 20:52,Confra unicentro,25 a 34 años,Masculino,Secundaria completa,"Sí, en el área de tecnología",No,Nunca he usado Python,"He escuchado el término, pero no sé bien qué es","Me suena, pero no estoy seguro/a","Sí, sé qué es y cómo se usa a nivel básico","No, nunca",No,Aprender a programar o conocer mas sobre programacion de software 
5/8/2025 14:34,Familia,25 a 34 años,Masculino,Universidad (pregrado),No estoy trabajando actualmente,"No, pero he aprendido por mi cuenta (autodidacta)",Nunca he usado Python,No,No,"Sí, sé qué es y cómo se usa a nivel básico","No, nunca",Sí,"aprender nuevas habilidades, tener nuevas oportunidades de empleo."
6/8/2025 21:20,Por un amigo ,18 a 24 años,Masculino,Universidad (pregrado),"Sí, en otra área","No, pero he aprendido por mi cuenta (autodidacta)",Nunca he usado Python,No,No,"Sí, sé qué es y cómo se usa a nivel básico","No, nunca",Sí,"Poder aprender a usar Python, así sea lo básico, qué no se me haga cómo en chino "
16/8/2025 20:46:28,Confraternidad,18 a 24 años,Femenino,Universidad (pregrado),"Sí, en otra área",No,"He visto algo, pero no he programado en él",No,No,"Sí, sé qué es y cómo se usa a nivel básico","No, nunca",Sí,Programar y automatizar procesos
19/8/2025 10:19:27,Por medio de un familiar que me informó sobnre el curso,Menos de 18 años,Masculino,Secundaria incompleta,No estoy trabajando actualmente,Sí,He hecho ejercicios o pequeños proyectos,"He escuchado el término, pero no sé bien qué es","Me suena, pero no estoy seguro/a",He escuchado el término,Solo para ver proyectos,No,Saber mas sobre python
19/8/2025 10:19:28,Familiar,Menos de 18 años,Masculino,Secundaria completa,No estoy trabajando actualmente,Sí,"He visto algo, pero no he programado en él",No,No,He escuchado el término,"No, nunca",No,Tener mayores conocimientos en programación.
19/8/2025 18:06:10,Confra,35 a 44 años,Masculino,Postgrado o más,No estoy trabajando actualmente,No,Nunca he usado Python,No,No,No,"No, nunca",Sí,Conocimientos Nuevos
19/8/2025 18:38:46,Por WhatsApp ,45 años o más,Masculino,Técnico o tecnólogo,"Sí, en el área de tecnología",No,Nunca he usado Python,No,No,He escuchado el término,"No, nunca",Sí,Amplificador mi sector laboral 
19/8/2025 20:06:42,Un amigo me envió la información y el formulario,18 a 24 años,Masculino,Secundaria completa,No estoy trabajando actualmente,No,Nunca he usado Python,"Sí, sé qué es y qué tecnologías se usan normalmente","Sí, sé qué es y qué hace",He escuchado el término,Solo para ver proyectos,Sí,Entender más el mundo digital y descubrir ñosibles nuevos gustos a partir de lo que se haga en el curso. 
20/8/2025 10:28:02,Me comentaron en la iglesia ,18 a 24 años,Masculino,Universidad (pregrado),No estoy trabajando actualmente,No,He hecho ejercicios o pequeños proyectos,"He escuchado el término, pero no sé bien qué es","Me suena, pero no estoy seguro/a",He escuchado el término,"Sí, he hecho commits o subido código","No, pero me gustaría crear una",Usar ese conocimiento para programar o pues usarlo en mi empresa 
